tick,reference_kpa,sensed_kpa
2,101.325,-157.853
6,101.325,-157.853
10,101.325,-157.853
14,101.325,-157.853
18,101.325,-157.853
22,101.325,-157.853
26,101.325,-157.853
30,101.325,-157.853
34,101.325,126.269
38,101.325,119.577
42,101.325,169.77
46,101.325,214.792
50,101.325,203.232
54,101.325,191.672
58,101.325,227.872
62,101.325,238.823
66,101.325,210.229
70,101.325,201.407
74,101.325,243.995
78,101.325,235.477
82,101.325,235.173
86,101.325,250.687
90,101.325,240.649
94,101.325,218.442
98,101.325,243.691
102,101.325,258.901
106,101.325,268.939
110,101.325,237.302
114,101.325,218.138
118,101.325,235.477
122,101.325,216.313
126,101.325,228.176
130,101.325,224.526
134,101.325,244.299
138,101.325,266.201
142,101.325,270.46
146,101.325,226.351
150,101.325,208.708
154,101.325,233.956
158,101.325,234.565
162,101.325,250.991
166,101.325,266.81
170,101.325,270.156
174,101.325,231.523
178,101.325,202.015
182,101.325,219.355
186,101.325,202.015
190,101.325,230.002
194,101.325,228.785
198,101.325,246.733
202,101.325,258.901
206,101.325,226.655
210,101.325,203.232
214,101.325,233.956
218,101.325,210.533
222,101.325,232.739
226,101.325,255.859
230,101.325,249.166
234,101.325,238.519
238,101.325,251.296
242,101.325,265.289
246,101.325,228.785
250,101.325,204.145
254,101.325,240.953
258,101.325,218.442
262,101.325,252.817
266,101.325,250.079
270,101.325,219.659
274,101.325,204.753
278,101.325,227.872
282,101.325,253.425
286,101.325,265.289
290,101.325,236.694
294,101.325,212.054
298,101.325,220.267
302,101.325,205.057
306,101.325,234.869
310,101.325,210.837
314,101.325,248.558
318,101.325,260.117
322,101.325,265.289
326,101.325,228.785
330,101.325,207.187
334,101.325,235.173
338,101.325,215.096
342,101.325,242.778
346,101.325,261.943
350,101.325,271.069
354,101.325,217.225
358,101.325,206.578
362,101.325,194.714
366,101.325,185.284
370,101.325,181.33
374,101.325,180.113
378,101.325,179.504
382,101.325,178.592
386,101.325,177.983
390,101.325,177.983
394,101.325,177.679
398,101.325,171.595
402,101.325,167.641
406,101.325,173.116
410,101.325,174.637
414,101.325,212.054
418,101.325,251.296
422,101.325,242.17
426,101.325,230.306
430,101.325,247.341
434,101.325,261.334
438,101.325,223.005
442,101.325,206.578
446,101.325,238.519
450,101.325,221.484
454,101.325,241.865
458,101.325,264.072
462,101.325,270.764
466,101.325,212.662
470,101.325,202.624
474,101.325,193.193
478,101.325,186.805
482,101.325,183.459
486,101.325,177.983
490,101.325,176.767
494,101.325,176.158
498,101.325,175.55
502,101.325,175.246
506,101.325,175.246
510,101.325,174.941
514,101.325,168.553
518,101.325,168.857
522,101.325,171.595
526,101.325,167.945
530,101.325,206.882
534,101.325,197.148
538,101.325,219.355
542,101.325,248.254
546,101.325,223.005
550,101.325,216.008
554,101.325,242.778
558,101.325,255.859
562,101.325,262.551
566,101.325,212.054
570,101.325,199.582
574,101.325,191.064
578,101.325,184.676
582,101.325,180.721
586,101.325,178.288
590,101.325,175.854
594,101.325,175.854
598,101.325,172.812
602,101.325,169.466
606,101.325,171.899
610,101.325,183.763
614,101.325,239.432
618,101.325,230.61
622,101.325,240.344
626,101.325,242.778
630,101.325,211.141
634,101.325,198.973
638,101.325,225.743
642,101.325,257.684
646,101.325,265.289
650,101.325,234.869
654,101.325,206.578
658,101.325,230.61
662,101.325,211.445
666,101.325,233.348
670,101.325,258.596
674,101.325,269.243
678,101.325,237.607
682,101.325,208.403
686,101.325,224.526
690,101.325,221.484
694,101.325,242.17
698,101.325,264.376
702,101.325,269.852
706,101.325,237.911
710,101.325,236.39
714,101.325,251.904
718,101.325,269.243
722,101.325,263.464
726,101.325,239.432
730,101.325,251.296
734,101.325,260.117
738,101.325,267.418
742,101.325,273.198
746,101.325,239.432
750,101.325,217.834
754,101.325,229.089
758,101.325,210.533
762,101.325,237.607
766,101.325,221.484
770,101.325,237.607
774,101.325,252.817
778,101.325,264.376
782,101.325,258.901
786,101.325,230.306
790,101.325,253.425
794,101.325,263.159
798,101.325,270.46
802,101.325,221.18
806,101.325,208.708
810,101.325,219.963
814,101.325,217.834
818,101.325,244.299
822,101.325,264.072
826,101.325,243.082
830,101.325,218.746
834,101.325,240.344
838,101.325,261.943
842,101.325,252.512
846,101.325,231.523
850,101.325,247.949
854,101.325,261.03
858,101.325,260.726
862,101.325,231.218
866,101.325,212.054
870,101.325,236.39
874,101.325,262.247
878,101.325,272.285
882,101.325,226.655
886,101.325,216.313
890,101.325,238.823
894,101.325,228.176
898,101.325,250.383
902,101.325,264.985
906,101.325,237.607
910,101.325,220.876
914,101.325,247.037
918,101.325,261.334
922,101.325,268.331
926,101.325,244.907
930,101.325,212.054
934,101.325,231.827
938,101.325,212.358
942,101.325,240.649
946,101.325,248.558
950,101.325,259.813
954,101.325,269.243
958,101.325,237.607
962,101.325,204.753
966,101.325,229.697
970,101.325,227.568
974,101.325,242.17
978,101.325,257.988
982,101.325,257.38
986,101.325,229.089
990,101.325,218.442
994,101.325,235.477
998,101.325,254.033
1002,101.325,243.082
1006,101.325,214.792
1010,101.325,232.131
1014,101.325,257.38
1018,101.325,254.642
1022,101.325,226.96
1026,101.325,208.708
1030,101.325,245.516
1034,101.325,257.988
1038,101.325,267.722
1042,101.325,218.746
1046,101.325,214.183
1050,101.325,216.921
1054,101.325,213.271
1058,101.325,216.313
1062,101.325,222.092
1066,101.325,242.474
1070,101.325,262.551
1074,101.325,248.558
1078,101.325,223.005
1082,101.325,249.47
1086,101.325,260.117
1090,101.325,266.81
1094,101.325,223.309
1098,101.325,208.403
1102,101.325,227.264
1106,101.325,231.523
1110,101.325,248.862
1114,101.325,259.813
1118,101.325,268.027
1122,101.325,235.173
1126,101.325,235.173
1130,101.325,251.296
1134,101.325,263.464
1138,101.325,262.247
1142,101.325,220.876
1146,101.325,205.057
1150,101.325,223.309
1154,101.325,217.225
1158,101.325,243.386
1162,101.325,255.859
1166,101.325,243.386
1170,101.325,221.788
1174,101.325,241.561
1178,101.325,254.946
1182,101.325,243.386
1186,101.325,239.736
1190,101.325,255.859
1194,101.325,253.121
1198,101.325,211.75
1202,101.325,198.669
1206,101.325,227.264
1210,101.325,222.701
1214,101.325,242.778
1218,101.325,253.121
1222,101.325,243.995
1226,101.325,240.04
1230,101.325,255.25
1234,101.325,263.464
1238,101.325,216.617
1242,101.325,202.015
1246,101.325,223.613
1250,101.325,209.924
1254,101.325,238.823
1258,101.325,260.117
1262,101.325,266.506
1266,101.325,223.918
1270,101.325,200.494
1274,101.325,231.827
1278,101.325,208.099
1282,101.325,235.173
1286,101.325,260.726
1290,101.325,261.03
1294,101.325,231.523
1298,101.325,212.358
1302,101.325,243.995
1306,101.325,256.467
1310,101.325,259.205
1314,101.325,230.002
1318,101.325,207.491
1322,101.325,233.044
1326,101.325,212.662
1330,101.325,240.344
1334,101.325,263.159
1338,101.325,268.939
1342,101.325,244.603
1346,101.325,221.484
1350,101.325,237.607
1354,101.325,263.768
1358,101.325,269.548
1362,101.325,230.306
1366,101.325,211.75
1370,101.325,224.83
1374,101.325,201.103
1378,101.325,219.05
1382,101.325,227.264
1386,101.325,245.516
1390,101.325,257.075
1394,101.325,253.425
1398,101.325,226.351
1402,101.325,204.753
1406,101.325,233.956
1410,101.325,215.4
1414,101.325,237.607
1418,101.325,257.684
1422,101.325,259.813
1426,101.325,230.002
1430,101.325,224.222
1434,101.325,243.691
1438,101.325,256.467
1442,101.325,257.684
1446,101.325,228.785
1450,101.325,230.002
1454,101.325,247.341
1458,101.325,258.596
1462,101.325,250.687
1466,101.325,225.439
1470,101.325,246.733
1474,101.325,262.247
1478,101.325,267.722
1482,101.325,235.173
1486,101.325,213.879
1490,101.325,237.607
1494,101.325,221.788
1498,101.325,245.82
1502,101.325,264.072
1506,101.325,268.331
1510,101.325,236.39
1514,101.325,221.18
1518,101.325,257.684
1522,101.325,265.897
1526,101.325,251.6
1530,101.325,219.963
1534,101.325,247.949
1538,101.325,267.722
1542,101.325,270.764
1546,101.325,231.218
1550,101.325,208.403
1554,101.325,228.176
1558,101.325,220.267
1562,101.325,244.603
1566,101.325,261.638
1570,101.325,269.243
1574,101.325,238.215
1578,101.325,215.4
1582,101.325,213.271
1586,101.325,197.148
1590,101.325,186.197
1594,101.325,181.634
1598,101.325,177.983
1602,101.325,175.854
1606,101.325,175.246
1610,101.325,175.854
1614,101.325,176.158
1618,101.325,188.935
1622,101.325,209.316
1626,101.325,239.128
1630,101.325,258.901
1634,101.325,237.607
1638,101.325,205.057
1642,101.325,211.445
1646,101.325,219.355
1650,101.325,248.558
1654,101.325,261.03
1658,101.325,245.516
1662,101.325,221.18
1666,101.325,241.865
1670,101.325,258.292
1674,101.325,269.548
1678,101.325,231.827
1682,101.325,209.012
1686,101.325,225.743
1690,101.325,216.008
1694,101.325,238.823
1698,101.325,256.163
1702,101.325,257.988
1706,101.325,228.785
1710,101.325,218.442
1714,101.325,240.04
1718,101.325,261.03
1722,101.325,255.25
1726,101.325,236.39
1730,101.325,248.558
1734,101.325,264.985
1738,101.325,242.778
1742,101.325,229.697
1746,101.325,255.25
1750,101.325,263.464
1754,101.325,260.422
1758,101.325,230.61
1762,101.325,207.187
1766,101.325,240.953
1770,101.325,220.267
1774,101.325,251.904
1778,101.325,265.289
1782,101.325,254.338
1786,101.325,226.96
1790,101.325,250.687
1794,101.325,262.247
1798,101.325,248.558
1802,101.325,233.348
1806,101.325,248.862
1810,101.325,259.509
1814,101.325,268.635
1818,101.325,236.086
1822,101.325,217.529
1826,101.325,247.037
1830,101.325,227.568
1834,101.325,245.82
1838,101.325,262.247
1842,101.325,270.156
1846,101.325,219.659
1850,101.325,193.498
1854,101.325,186.805
1858,101.325,180.721
1862,101.325,177.071
1866,101.325,175.246
1870,101.325,174.333
1874,101.325,174.029
1878,101.325,173.725
1882,101.325,173.725
1886,101.325,173.42
1890,101.325,167.336
1894,101.325,165.207
1898,101.325,167.945
1902,101.325,181.938
1906,101.325,227.568
1910,101.325,228.785
1914,101.325,209.316
1918,101.325,210.229
1922,101.325,238.519
1926,101.325,252.208
1930,101.325,204.449
1934,101.325,209.924
1938,101.325,234.26
1942,101.325,249.775
1946,101.325,252.817
1950,101.325,207.187
1954,101.325,203.536
1958,101.325,230.002
1962,101.325,247.341
1966,101.325,259.205
1970,101.325,249.47
1974,101.325,223.309
1978,101.325,248.254
1982,101.325,262.551
1986,101.325,269.243
1990,101.325,214.183
1994,101.325,199.886
1998,101.325,190.76
2002,101.325,182.242
2006,101.325,179.809
2010,101.325,176.462
2014,101.325,174.333
2018,101.325,174.029
2022,101.325,173.725
2026,101.325,173.42
2030,101.325,173.42
2034,101.325,172.812
2038,101.325,167.032
2042,101.325,169.162
2046,101.325,181.33
2050,101.325,221.484
2054,101.325,241.257
2058,101.325,209.316
2062,101.325,194.41
2066,101.325,241.865
2070,101.325,254.946
2074,101.325,222.092
2078,101.325,201.711
2082,101.325,226.047
2086,101.325,198.365
2090,101.325,218.442
2094,101.325,206.578
2098,101.325,233.044
2102,101.325,251.6
2106,101.325,262.855
2110,101.325,232.739
2114,101.325,208.099
2118,101.325,235.477
2122,101.325,212.662
2126,101.325,249.775
2130,101.325,259.813
2134,101.325,266.201
2138,101.325,218.442
2142,101.325,217.834
2146,101.325,239.128
2150,101.325,260.117
2154,101.325,265.289
2158,101.325,254.642
2162,101.325,221.18
2166,101.325,244.603
2170,101.325,256.467
2174,101.325,263.768
2178,101.325,241.561
2182,101.325,217.834
2186,101.325,250.383
